technology,capacity_type,location,year,none
biomass_boiler,power,FI,4,0.9160902307934892
biomass_boiler,power,FI,5,0.601386991270271
biomass_boiler,power,FI,6,0.5754285193657608
biomass_boiler,power,FI,7,0.37609617048516086
biomass_boiler,power,FI,8,0.2751969894622022
biomass_boiler,power,FI,9,0.09047568183338327
biomass_boiler,power,FI,10,0.09047569006312034
biomass_boiler,power,FI,11,0.09047570166370106
biomass_boiler,power,FI,12,0.0904757195869973
biomass_boiler,power,FI,13,0.09047575264631907
biomass_boiler,power,FI,14,0.09047586264986882
biomass_boiler,power,FR,0,16.555643975952435
biomass_boiler,power,FR,1,14.683882118773926
biomass_boiler,power,FR,2,11.823421398389275
biomass_boiler,power,FR,3,9.86168786429578
biomass_boiler,power,FR,4,4.86654939021867
biomass_boiler,power,FR,5,2.1401232962583956
biomass_boiler,power,FR,6,1.7022347073281416
biomass_boiler,power,FR,7,0.6919954101405401
biomass_boiler,power,FR,8,1.1873029836080925e-07
biomass_boiler,power,FR,9,1.5721474011154448e-07
biomass_boiler,power,FR,10,1.9304793714052857e-07
biomass_boiler,power,FR,11,2.3399352098873367e-07
biomass_boiler,power,FR,12,2.8475414339013676e-07
biomass_boiler,power,FR,13,3.644279123160363e-07
biomass_boiler,power,FR,14,5.820609379135462e-07
biomass_boiler,power,HR,0,3.16510505868994
biomass_boiler,power,HR,1,2.9053012586249047
biomass_boiler,power,HR,2,2.6418242565650756
